__time,Calling_Number,Egress_Endpoint_IP,Egress_Route,Egress_Endpoint_Customer_Id,Egress_Endpoint,Egress_Realm,Egress_Reg_Id,Egress_Uport,Call_Duration_,Call_Duration_Fractional,Call_Duration_1,Call_End_Time,Ingress_Call_Error,Egress_Call_Error,Egress_Call_Error_Code,Last_Event_in_Call_Setup,Ingress_Call_Error_Code,Rate_Limit_Error_Code,Call_Hold_Time_,PDD,Call_Release_Source,Ingress_Endpoint_IP,Ingress_Endpoint_Customer_Id,Ingress_Endpoint,Ingress_Sig_Port,Ingress_Realm,Ingress_Reg_Id,Ingress_Uport,Call_Type,Zone,Called_Party_After_Src_Calling_Plan,Called_Party_After_Transit_Route,Called_Party_as_Dialed_by_User,Number_Type_for_Called_Party_as_Dialed_by_User,Called_Party_in_E164_Format,Number_Type_for_Called_Party,Ingress_Trunk_Group,Call_Id,Calling_Party_Number_Type_Received_from_Ingress,Calling_Party_Number_Type_Sent_to_Egress,CDR_Type,Charge_Number,Charge_Number_NoA,Charge_Number_NPI,Cluster_Name,Codec_On_Egress_Leg,Codec_On_Egress_Leg__1st_mline,Codec_On_Ingress_Leg,Codec_On_Ingress_Leg__1st_mline,Custom_Contact_Tag,Bytes_Forwarded_from_Egress_Leg__1st_mline,Bytes_Forwarded_from_Ingress_Leg__1st_mline,Egress_Leg_Number_of_Packets_Dropped_by_Bandwidth_Policing,Called_Party_Media_IP,Called_Party_Media_Port_Number,Egress_Realm_Media_IP,Egress_Realm_Media_Port,Egress_Trunk_Group,Egress_Leg_ptime,Device_Name,Disconnect_Error_Type,Diversion_Info,Egress_Trunk_Group_Context,E911_Call,Egress_Endpoint_Country_Code,Egress_Endpoint_Latitude,Egress_Endpoint_Longitude,Egress_Callid_Termination_Endpoint,Egress_MOS,Egress_Endpoint_Subnet,Egress_Endpoint_Subnet_Mask,Egress_Rate_Limit_Error_Code,CDR_Filename,FromURI_User_Part_in_Ingress_INVITE,Full_Paid_Hdr_in_Ingress_INVITE,Hunt_Attempts,Hunting_Attempts,RequestURI_in_Ingress_INVITE,RSA_IP,Ingress_Endpoint_Country_Code,Ingestion_Time,Ingress_Endpoint_Latitude,Ingress_Endpoint_Longitude,Ingress_MOS,Ingress_Endpoint_Subnet,Ingress_Subnet_Mask,Ingress_ISDN_Cause_Code,Ingress_ISDN_Cause,Egress_Latency,Ingress_Latency,Gateway_Latitude,Ingress_SIP_PAccessNetworkInfo,Ingress_PChargingVector,Egress_SIP_PAccessNetworkInfo,Egress_PChargingVector,Day_in_Local_Time,Day_of_Week_in_Local_Time_,Hour_in_Local_Time,Month_in_Local_Time,Local_Refer_Status,Year_in_Local_Time,Gateway_Longitude,Media_Type,Media_Type__1st_mline,MSW_Name,Calling_Number_after_Calling_Plan,FromURI_User_Part_in_Egress_INVITE,PaidURI_User_Part_in_Egress_INVITE,RequestURI_User_Part_in_Egress_INVITE,Outbound_Call_Limit,Outbound_Call_Limit_Uport,Outbound_Call_Limit_Type,Outbound_Call_Limit_Policy_Name,Organization_Hdr_in_Ingress_INVITE,Egress_ISDN_Cause_Code,Egress_ISDN_Cause,FromURI_in_Egress_INVITE,RequestURI_in_Egress_INVITE,ToURI_in_Egress_INVITE,Egress_Packets_Discarded,Ingress_Packets_Discarded,Egress_Packets_Lost,Ingress_Packets_Lost,Egress_Packets_Received,Ingress_Packets_Received,PaidURI_User_Part_in_Ingress_INVITE,Egress_Jitter,Ingress_Jitter,Peer_Protocol,Privacy,Protocol,ReInvite_Reject_Count,RequestURI_User_Part_in_Ingress_INVITE,Egress_R_Factor,Ingress_R_Factor,Local_Routing_Number,RSA_Latitude,RSA_Longitude,SBC_Version,Final_Negotiated_Answer_Codec,Final_Negotiated_Offer_Codec,SIP_Egress_Response_Code,SIP_Egress_Response_Reason,SIP_Ingress_Response_Code,SIP_Ingress_Response_Reason,Ingress_ptime,Ingress_Iedge_Group,Ingress_Leg_Number_of_Packets_Dropped_by_Bandwidth_Policing,Calling_Party_Media_IP,Calling_Party_Media_Port,Calling_Realm_Media_IP,Calling_Realm_Media_Port,Ingress_Trunk_Group_Context,Start_Time_in_Local_Time,Start_of_Call,Time_Group,Timezone,Transcoder_Id,End_of_Call,Epoch_End_of_Call,User_Timezone,Day_in_UTC,Day_of_week_in_UTC,Hour_in_UTC,Month_in_UTC,Year_in_UTC,Valid_Record,Video_CAC,No_Of_M_Lines,Is_Permitted,Robo_Confidence_Score,CDR_Sequence_Number,Called_Number_Classification,Called_Number_Classification_Flag,Calling_Number_Classification,Calling_Number_Classification_Flag,Unnamed_177,Packet_Loss_greater_001
2021-08-25 00:03:00,89000000000000,54.590.05.60,NULL,nuvia.com,WIWQ_Xvyrow/0,priv_level3,WIWQ_Xvyrow,0,000:01:22,82.27899933,82,00:29:34.3,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:07,138,source,529.14.536.01,NULL,IQIE_Xvyro/0,5060,trunk2,IQIE_Xvyro,0,IV,1,885000000000,NULL,885000000000,NULL,885000000000,Subscriber,NULL,843988-7009850630-911631@iqie45-w7w46w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,unknown,unknown,g711ulaw,g711ulaw,NULL,NULL,656480,5,NULL,536.502.4.6,4002,536.03.680.98,20192,pizip7yo_mrkviww,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,89000000000000,NULL,NULL,1,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,89000000000000,89000000000000,NULL,885000000000,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,NULL,0,NULL,0,NULL,4103,NULL,NULL,0,sip,Draft01,sip,NULL,885000000000,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,529.14.536.00,43232,532.51.28.98,54362,NULL,2021-04-13 12:28:00,2021-04-13T08:28:12,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,14358792,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 00:10:00,883000000000,54.590.05.60,NULL,NULL,WIWQ_Xvyrow/43,priv_trunk110,WIWQ_Xvyrow,43,000:00:21,21.01300049,21,00:29:34.1,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:05,387,source,529.14.536.01,NULL,IQIE_Xvyro/1,5060,trunk,IQIE_Xvyro,1,IV,1,885000000000,NULL,885000000000,NULL,885000000000,Subscriber,NULL,865196-7009824612-281011@iqie45-w7w46w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,unknown,unknown,g711ulaw,g711ulaw,NULL,NULL,167276,5,NULL,516.60.582.504,50038,536.03.680.98,32650,iqie_mrfsyrh,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,883000000000,NULL,NULL,1,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,883000000000,883000000000,883000000000,885000000000,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,NULL,0,NULL,0,NULL,1046,883000000000,NULL,0,sip,RFC3325,sip,NULL,885000000000,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,529.14.536.00,61970,532.51.28.98,45586,NULL,2021-04-13 12:29:00,2021-04-13T08:29:13,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,14434864,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 01:03:00,wmwmvqir,54.590.05.60,NULL,NULL,WIWQ5/19,priv_domain2,WIWQ5,19,000:00:04,4.059000015,4,00:29:35,NULL,Proxy Authentication Required,5407,ack-rx#100-rx,0,NULL,000:00:00,375,source,529.14.536.99,NULL,hCreqmg-7009372798.542495.447/0,5060,pub2_access,hCreqmg-7009372798.542495.447,0,IV,NULL,6007,NULL,6007,NULL,6007,Subscriber,NULL,31999066-7001472842-655402@iqie45-w7w45w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,g711ulaw,g711ulaw,g711ulaw,g711ulaw,NULL,32980,29800,NULL,NULL,54.590.05.670,51364,536.03.680.98,26146,NULL,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.405381203,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,wmwmvqir,NULL,NULL,0,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,wmwmvqir,wmwmvqir,NULL,6007,NULL,NULL,NULL,NULL,NULL,21,CallRejected,NULL,NULL,NULL,0,0,0,0,210,187,NULL,0,0,sip,No,sip,NULL,6007,93,93,NULL,NULL,NULL,NULL,NULL,NULL,407,Proxy Authentication Required,NULL,Proxy Authentication Required,NULL,NULL,NULL,529.14.536.98,54834,532.51.28.98,55780,NULL,2021-04-13 12:29:00,2021-04-13T08:29:30,1,EDT,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,16572252,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 01:30:00,881000000000,54.590.05.60,NULL,nuvia.com,WIWQ_Xvyrow/0,priv_level3,WIWQ_Xvyrow,0,000:01:28,87.66999817,88,00:29:34.5,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:04,669,source,529.14.536.01,NULL,IQIE_Xvyro/0,5060,trunk2,IQIE_Xvyro,0,IV,1,885000000000,NULL,885000000000,NULL,885000000000,Subscriber,NULL,924665-7000771660-025569@iqie45-w7w46w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,unknown,unknown,g711ulaw,g711ulaw,NULL,NULL,699200,5,NULL,516.60.589.84,50074,536.03.680.98,36122,pizip7yo_mrkviww,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,881000000000,NULL,NULL,1,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,881000000000,881000000000,NULL,885000000000,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,NULL,0,NULL,1,NULL,4370,NULL,NULL,0,sip,Draft01,sip,NULL,885000000000,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,529.14.536.00,26018,532.51.28.98,58800,NULL,2021-04-13 12:28:00,2021-04-13T08:28:06,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,15522147,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 01:50:00,psvihere,54.590.05.60,NULL,NULL,WIWQ5/19,priv_domain2,WIWQ5,19,000:01:07,66.63899994,67,00:29:34.7,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:00,235,destination,516.62.7.545,NULL,hCreqmg-7099307727.024886.523/1,5060,pub2_access,hCreqmg-7099307727.024886.523,1,IV,NULL,6007,NULL,6007,NULL,6007,Subscriber,NULL,67j78h4-4-57g8-30g4j-9j6i7498-30g4j@kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,g711ulaw,g711ulaw,g711ulaw,g711ulaw,NULL,291840,278324,NULL,NULL,NULL,64980,536.03.680.98,24454,NULL,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.405381203,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,psvihere,NULL,NULL,0,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,psvihere,psvihere,NULL,6007,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,0,0,0,0,1824,1838,NULL,0,0,sip,No,sip,NULL,6007,93,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Proxy Authentication Required,NULL,NULL,NULL,NULL,10000,532.51.28.98,55088,NULL,2021-04-13 12:28:00,2021-04-13T08:28:27,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,15534699,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 03:20:00,645000000000,54.590.05.60,NULL,nuvia.com,WIWQ_Xvyrow/0,priv_level3,WIWQ_Xvyrow,0,000:30:45,1845.170044,1845,00:29:34.8,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:01,243,source,529.14.536.01,NULL,IQIE_Xvyro/0,5060,trunk2,IQIE_Xvyro,0,IV,1,885000000000,NULL,885000000000,NULL,885000000000,Subscriber,NULL,185227-7000307051-551161@iqie45-w7w46w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,g711ulaw,g711ulaw,g711ulaw,g711ulaw,NULL,14792828,14760276,5,NULL,54.590.05.78,32348,536.03.680.98,30496,pizip7yo_mrkviww,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.258759022,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,645000000000,NULL,NULL,1,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,645000000000,645000000000,NULL,885000000000,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,1025,11,1025,11,91563,92425,NULL,0,0,sip,Draft01,sip,NULL,885000000000,87,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,529.14.536.00,49362,532.51.28.98,47774,NULL,2021-04-13 11:58:00,2021-04-13T07:58:49,1,EDT,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,16459845,NULL,NULL,NULL,NULL,Packet Loss greater than 1%
2021-08-25 06:00:00,885000000000,54.590.05.60,NULL,nuvia.com,WIWQ_Xvyrow/0,priv_level3,WIWQ_Xvyrow,0,000:00:17,16.88400078,17,00:29:34.7,NULL,NULL,NULL,ack-rx#na,0,NULL,000:00:08,1006,destination,529.14.536.01,NULL,IQIE_Xvyro/0,5060,trunk2,IQIE_Xvyro,0,IV,1,885000000000,NULL,885000000000,NULL,885000000000,Subscriber,NULL,907076-7005589361-231115@iqie45-w7w46w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,unknown,unknown,g729,g729,NULL,NULL,16660,5,NULL,54.31.69.570,50026,536.03.680.98,39432,pizip7yo_mrkviww,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,885000000000,NULL,NULL,1,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.132171154,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,885000000000,885000000000,NULL,885000000000,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,NULL,0,NULL,0,NULL,833,NULL,NULL,0,sip,Draft01,sip,NULL,885000000000,NULL,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,529.14.536.00,32156,532.51.28.98,57436,NULL,2021-04-13 12:29:00,2021-04-13T08:29:17,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,14357018,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 06:10:00,sxxgsrj_epksruy,54.590.05.60,NULL,NULL,WIWQ5/19,priv_domain2,WIWQ5,19,000:00:00,0,0,00:29:34.8,Request Terminated-Call Abandoned,Request Terminated-Call Abandoned,2,18x-tx#18x-rx,2,NULL,000:00:05,261,source,516.62.7.544,NULL,hCreqmg-7091768668.861869.590/13,5060,pub2_access,hCreqmg-7091768668.861869.590,13,IV,NULL,6227,NULL,6227,NULL,6227,Subscriber,NULL,6hf8ge2-4-57g8-74e64j-9h8h0375-74e64j@kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,g711ulaw,g711ulaw,g711ulaw,g711ulaw,NULL,35840,36160,NULL,NULL,54.590.05.78,21012,536.03.680.98,24438,NULL,NULL,Q20_sim,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.405381203,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,sxxgsrj_epksruymr,NULL,NULL,0,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,AD,AD,msx_sim_1,sxxgsrj_epksruymr,sxxgsrj_epksruymr,NULL,6227,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,0,0,0,0,224,226,NULL,0,0,sip,No,sip,NULL,6227,93,93,NULL,NULL,NULL,NULL,NULL,NULL,487,Request Terminated,487,Request Terminated,NULL,NULL,NULL,516.62.7.544,10120,532.51.28.98,54860,NULL,2021-04-13 12:29:00,2021-04-13T08:29:34,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,13510095,NULL,NULL,NULL,NULL,Packet Loss lower than 1%
2021-08-25 06:15:00,sxxgsrj_hezmrgm,54.590.05.60,NULL,NULL,WIWQ5/19,priv_domain2,WIWQ5,19,000:19:38,1178.005005,1178,00:29:34.6,NULL,Proxy Authentication Required,5407,ack-tx#100-rx,0,NULL,000:00:01,149,source,516.62.7.545,NULL,hCreqmg-7008374697.592682.538/15,5060,pub2_access,hCreqmg-7008374697.592682.538,15,IV,NULL,772,NULL,772,NULL,772,Subscriber,NULL,67j5812-4-57g8-e4f8-100i18eh-e4f8@kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,"g711ulaw,unknown",g711ulaw,"g711ulaw, unknown",g711ulaw,NULL,9408640,9412444,NULL,NULL,"54.590.05.78, 54.590.05.78","32016, 31188","536.03.680.98, 536.03.680.98","25494, 25804",NULL,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.258759022,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,sxxgsrj_hezmrgm,NULL,NULL,0,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,4.405381203,NULL,NULL,16,NormalCallClearing,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,"AD,VD","AD,VD",msx_sim_1,sxxgsrj_hezmrgm,sxxgsrj_hezmrgm,NULL,772,NULL,NULL,NULL,NULL,NULL,21,CallRejected,NULL,NULL,NULL,704,0,707,0,58099,58896,NULL,0,0,sip,No,sip,NULL,772,87,93,NULL,NULL,NULL,NULL,NULL,NULL,407,Proxy Authentication Required,NULL,Proxy Authentication Required,NULL,NULL,NULL,516.62.7.545,"10000, 0",532.51.28.98,41450,NULL,2021-04-13 12:09:00,2021-04-13T08:09:56,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,2,NULL,NULL,15074578,NULL,NULL,NULL,NULL,Packet Loss greater than 1%
2021-08-25 07:03:00,nsAekriv,54.590.05.60,NULL,NULL,WIWQ5/19,priv_domain2,WIWQ5,19,000:00:11,10.74400043,11,00:29:34.2,NULL,NULL,NULL,200-tx#na,0,NULL,000:00:05,329,destination,529.14.536.99,NULL,hCreqmg-7009372798.542495.447/9,5060,pub2_access,hCreqmg-7009372798.542495.447,9,IV,NULL,nkeper,NULL,nkeper,NULL,nkeper,Subscriber,NULL,11617999-7000024407-601844@iqie45-w7w45w5.kirferh.gsq,NULL,Subscriber,end1,NULL,NULL,NULL,Q20,unknown,unknown,unknown,unknown,NULL,NULL,NULL,NULL,NULL,516.68.552.95,23032,536.03.680.98,43658,NULL,NULL,Q20_sim,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,msx_sim_1_2021_04_13_12.CDT,nsAekriv,NULL,NULL,0,NULL,NULL,NULL,2021-04-13T08:29:25,NULL,NULL,NULL,NULL,NULL,102,RecoveryOnTimerExpiry,NULL,NULL,0,NULL,NULL,NULL,NULL,13,2,8,4,NULL,2021,0,"AD,VD","AD,VD",msx_sim_1,nsAekriv,nsAekriv,NULL,nkeper,NULL,NULL,NULL,NULL,NULL,16,NormalCallClearing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sip,No,sip,NULL,nkeper,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,NULL,NULL,NULL,NULL,529.14.536.98,45870,532.51.28.98,44290,NULL,2021-04-13 12:29:00,2021-04-13T08:29:23,1,EST,NULL,2021-04-13 08:29:00,1618302574,America/New_York,13,2,12,4,2021,True,NULL,1,NULL,NULL,16118578,NULL,NULL,NULL,NULL,Not applicable
